Station,Region,Lat_North,Long_East,Year,Month,Date,Humidity,Rainfall,Temperature
,,,,2018,September,1-Sep-2018,85,153.6,28.5
,,,,2018,October,1-Oct-2018,87,201.4,28
,,,,2018,November,1-Nov-2018,88,747.4,27.6
,,,,2018,December,1-Dec-2018,89,982.7,27.5
"BUTUAN CITY, AGUSAN DEL NORTE",Region13,8.94699167,125.48243333,2013,January,1-Jan-2013,91,511.4,26.3
,,,,2013,February,1-Feb-2013,86,275.6,27
,,,,2013,March,1-Mar-2013,85,179.1,27.7
,,,,2013,April,1-Apr-2013,82,111.4,28.4
,,,,2013,May,1-May-2013,80,100.1,29.6
,,,,2013,June,1-Jun-2013,84,287.7,28.6
,,,,2013,July,1-Jul-2013,85,105.3,28.2
,,,,2013,August,1-Aug-2013,85,200.5,28.2
,,,,2013,September,1-Sep-2013,81,19.5,28.9
,,,,2013,October,1-Oct-2013,81,138.3,28.3
,,,,2013,November,1-Nov-2013,88,232.2,27.3
,,,,2013,December,1-Dec-2013,86,130,27.8
,,,,2014,January,1-Jan-2014,90,721.4,24.9
,,,,2014,February,1-Feb-2014,84,72.7,26.3
,,,,2014,March,1-Mar-2014,83,258.8,27.1
,,,,2014,April,1-Apr-2014,81,57.4,28.1
,,,,2014,May,1-May-2014,79,100.8,29.7
,,,,2014,June,1-Jun-2014,80,145.7,29.3
,,,,2014,July,1-Jul-2014,79,149.2,28.7
,,,,2014,August,1-Aug-2014,80,131.4,28.5
,,,,2014,September,1-Sep-2014,83,225.8,27.9
,,,,2014,October,1-Oct-2014,82,82.7,28.4
,,,,2014,November,1-Nov-2014,85,167.5,27.9
,,,,2014,December,1-Dec-2014,85,416.9,27.4
,,,,2015,January,1-Jan-2015,86,331.5,26.5
,,,,2015,February,1-Feb-2015,81,63.3,26.7
,,,,2015,March,1-Mar-2015,78,40.6,27.2
,,,,2015,April,1-Apr-2015,78,25.9,28.6
,,,,2015,May,1-May-2015,74,69.8,29.6
,,,,2015,June,1-Jun-2015,82,172.1,28.6
,,,,2015,July,1-Jul-2015,79,130.2,29.1
,,,,2015,August,1-Aug-2015,78,59.3,29.1
,,,,2015,September,1-Sep-2015,80,141,28.7
,,,,2015,October,1-Oct-2015,79,124.6,29
,,,,2015,November,1-Nov-2015,84,294.7,28
,,,,2015,December,1-Dec-2015,84,242.2,27.8
,,,,2016,January,1-Jan-2016,79,20.5,27.8
,,,,2016,February,1-Feb-2016,79,80.5,27.4
,,,,2016,March,1-Mar-2016,74,3.6,28.6
,,,,2016,April,1-Apr-2016,72,30.6,29.9
,,,,2016,May,1-May-2016,76,136,30
,,,,2016,June,1-Jun-2016,81,320,29.4
,,,,2016,July,1-Jul-2016,81,242.3,28.8
,,,,2016,August,1-Aug-2016,78,54.3,30
,,,,2016,September,1-Sep-2016,82,232.4,28.7
,,,,2016,October,1-Oct-2016,84,209.6,28.6
,,,,2016,November,1-Nov-2016,86,304,27.3
,,,,2016,December,1-Dec-2016,86,152.4,27.8
,,,,2017,January,1-Jan-2017,89.33,560.9,26.765
,,,,2017,February,1-Feb-2017,85,384.2,26.575
,,,,2017,March,1-Mar-2017,85.18,324.2,27.345
,,,,2017,April,1-Apr-2017,82,168.7,28.41
,,,,2017,May,1-May-2017,83,230.7,29.4
,,,,2017,June,1-Jun-2017,81,211.4,29.05
,,,,2017,July,1-Jul-2017,81,199.6,28.65
,,,,2017,August,1-Aug-2017,80,65.6,28.95
,,,,2017,September,1-Sep-2017,82,165.2,28.65
,,,,2017,October,1-Oct-2017,82,233.5,28.55
,,,,2017,November,1-Nov-2017,86,235.6,27.95
,,,,2017,December,1-Dec-2017,85,257.2,27.65
,,,,2018,January,1-Jan-2018,87,386.1,26.9
,,,,2018,February,1-Feb-2018,84,255.6,27.4
,,,,2018,March,1-Mar-2018,81,48.2,27.5
,,,,2018,April,1-Apr-2018,80,180.2,28.4
,,,,2018,May,1-May-2018,79,97.9,29.5
,,,,2018,June,1-Jun-2018,78,104.2,28.8
,,,,2018,July,1-Jul-2018,76,71.4,29.2
,,,,2018,August,1-Aug-2018,76,77.5,29
,,,,2018,September,1-Sep-2018,78,256.6,28.6
,,,,2018,October,1-Oct-2018,79,133.4,28.6
,,,,2018,November,1-Nov-2018,84,243.6,27.5
,,,,2018,December,1-Dec-2018,86,228.1,27.4
"CABANATUAN, NUEVA ECIJA",Region03,15.47146944,120.95191389,2013,January,1-Jan-2013,81,0.6,26.6
,,,,2013,February,1-Feb-2013,81,8,27.6
,,,,2013,March,1-Mar-2013,80,15.2,28.7
,,,,2013,April,1-Apr-2013,77,74.5,31
,,,,2013,May,1-May-2013,82,73.4,30.5
,,,,2013,June,1-Jun-2013,86,305.7,29.9
,,,,2013,July,1-Jul-2013,89,219.3,28.7
,,,,2013,August,1-Aug-2013,92,465.3,27.7
,,,,2013,September,1-Sep-2013,92,337.7,27.9
,,,,2013,October,1-Oct-2013,86,206.4,28
,,,,2013,November,1-Nov-2013,85,100.9,27.9
,,,,2013,December,1-Dec-2013,83,27.1,27.8
,,,,2014,January,1-Jan-2014,77,0,25.5
,,,,2014,February,1-Feb-2014,81,1.4,26.7
,,,,2014,March,1-Mar-2014,79,7.4,28
,,,,2014,April,1-Apr-2014,77,15.3,30.3
,,,,2014,May,1-May-2014,78,36.5,31.5
,,,,2014,June,1-Jun-2014,87,206.1,29.8
,,,,2014,July,1-Jul-2014,91,320.3,28.6
,,,,2014,August,1-Aug-2014,92,244.4,28.3
,,,,2014,September,1-Sep-2014,89,305.2,28
,,,,2014,October,1-Oct-2014,82,177.4,28.3
,,,,2014,November,1-Nov-2014,74,25.4,28.4
,,,,2014,December,1-Dec-2014,73,39.2,27.4
,,,,2015,January,1-Jan-2015,72,19.3,26.1
,,,,2015,February,1-Feb-2015,73,T,26.2
,,,,2015,March,1-Mar-2015,67,1.5,27.4
,,,,2015,April,1-Apr-2015,66,20.6,29.7
,,,,2015,May,1-May-2015,70,65.1,30.7
,,,,2015,June,1-Jun-2015,74,177.6,30.4
,,,,2015,July,1-Jul-2015,86,404,27.9
,,,,2015,August,1-Aug-2015,86,324.1,28.6
,,,,2015,September,1-Sep-2015,82,215.9,29
,,,,2015,October,1-Oct-2015,83,310.6,28.2
,,,,2015,November,1-Nov-2015,81,2.5,28.5
,,,,2015,December,1-Dec-2015,82,523.2,27.4
,,,,2016,January,1-Jan-2016,83,1.9,27.3
,,,,2016,February,1-Feb-2016,78,3.2,27
,,,,2016,March,1-Mar-2016,77,1.7,28.6
,,,,2016,April,1-Apr-2016,72,38.8,30.6
,,,,2016,May,1-May-2016,78,248.1,30.5
,,,,2016,June,1-Jun-2016,84,179.2,29.7
,,,,2016,July,1-Jul-2016,79,147.5,29
,,,,2016,August,1-Aug-2016,90,343.4,28
,,,,2016,September,1-Sep-2016,88,200.4,28.4
,,,,2016,October,1-Oct-2016,86,306.1,28.3
,,,,2016,November,1-Nov-2016,81,78.6,28
,,,,2016,December,1-Dec-2016,79,12.4,27.9
,,,,2017,January,1-Jan-2017,78,24.3,26.735
,,,,2017,February,1-Feb-2017,78,26.4,26.525
,,,,2017,March,1-Mar-2017,76,8.9,28.05
,,,,2017,April,1-Apr-2017,74,42.4,30.035
,,,,2017,May,1-May-2017,78,241.4,30.47
,,,,2017,June,1-Jun-2017,81,105.3,29.92
,,,,2017,July,1-Jul-2017,87,219.8,28.46
,,,,2017,August,1-Aug-2017,87,568.5,28.65
,,,,2017,September,1-Sep-2017,86,236.9,28.63
,,,,2017,October,1-Oct-2017,84,86.2,28.3
,,,,2017,November,1-Nov-2017,82,195.5,28
,,,,2017,December,1-Dec-2017,78,30.5,27.745
,,,,2018,January,1-Jan-2018,76,13,27.1
,,,,2018,February,1-Feb-2018,76,2.4,27.7
,,,,2018,March,1-Mar-2018,73,13.6,28.3
,,,,2018,April,1-Apr-2018,74,1,30.2
,,,,2018,May,1-May-2018,68,95.8,31.2
,,,,2018,June,1-Jun-2018,84,311.8,28.6
,,,,2018,July,1-Jul-2018,87,343.6,28
,,,,2018,August,1-Aug-2018,87,452.9,27.9
,,,,2018,September,1-Sep-2018,84,335.8,28.4
,,,,2018,October,1-Oct-2018,79,264.2,28.8
,,,,2018,November,1-Nov-2018,74,2,28.1
,,,,2018,December,1-Dec-2018,78,44.4,27.3
"CALAPAN, ORIENTAL MINDORO",Region04A,13.409775,121.18966667,2013,January,1-Jan-2013,87,128.3,25.5
,,,,2013,February,1-Feb-2013,87,187.5,26.3
,,,,2013,March,1-Mar-2013,84,175.1,26.9
,,,,2013,April,1-Apr-2013,81,62,29.1
,,,,2013,May,1-May-2013,82,253.2,28.9
,,,,2013,June,1-Jun-2013,87,397.5,28.4
,,,,2013,July,1-Jul-2013,89,470.7,27.5
,,,,2013,August,1-Aug-2013,89,293.4,27.3
,,,,2013,September,1-Sep-2013,89,275.8,27
,,,,2013,October,1-Oct-2013,87,104.1,27.2
,,,,2013,November,1-Nov-2013,88,558.8,27
,,,,2013,December,1-Dec-2013,89,228.4,26.5
,,,,2014,January,1-Jan-2014,84,51.8,24.8
,,,,2014,February,1-Feb-2014,85,22.8,26
,,,,2014,March,1-Mar-2014,82,32,27.2
,,,,2014,April,1-Apr-2014,77,19.4,28.9
,,,,2014,May,1-May-2014,77,194.9,29.5
,,,,2014,June,1-Jun-2014,83,154.4,28.4
,,,,2014,July,1-Jul-2014,87,219.1,27.7
,,,,2014,August,1-Aug-2014,85,192.7,28
,,,,2014,September,1-Sep-2014,89,223.2,27.6
,,,,2014,October,1-Oct-2014,89,299.6,27.2
,,,,2014,November,1-Nov-2014,88,95.6,27.1
,,,,2014,December,1-Dec-2014,89,386.6,26.1
,,,,2015,January,1-Jan-2015,83,131.1,25.7
,,,,2015,February,1-Feb-2015,78,48.2,26.5
,,,,2015,March,1-Mar-2015,76,29.9,27
,,,,2015,April,1-Apr-2015,78,78.5,27.7
,,,,2015,May,1-May-2015,76,24.4,29.5
,,,,2015,June,1-Jun-2015,80,201,28.8
,,,,2015,July,1-Jul-2015,82,173.2,28.2
,,,,2015,August,1-Aug-2015,86,252.3,28
,,,,2015,September,1-Sep-2015,85,129.3,28.4
,,,,2015,October,1-Oct-2015,85,70.5,28
,,,,2015,November,1-Nov-2015,86,125.9,27.8
,,,,2015,December,1-Dec-2015,88,400.8,27
,,,,2016,January,1-Jan-2016,86,66.4,26.6
,,,,2016,February,1-Feb-2016,85,83.2,26.2
,,,,2016,March,1-Mar-2016,84,39.3,27.8
,,,,2016,April,1-Apr-2016,81,88.8,29
,,,,2016,May,1-May-2016,82,89.1,29.1
,,,,2016,June,1-Jun-2016,84,240,28.2
,,,,2016,July,1-Jul-2016,85,83.6,27.9
,,,,2016,August,1-Aug-2016,87,121.8,27.6
,,,,2016,September,1-Sep-2016,87,144.2,28
,,,,2016,October,1-Oct-2016,88,299.9,27.4
,,,,2016,November,1-Nov-2016,89,NA,NA
,,,,2016,December,1-Dec-2016,91,441.2,26.5
,,,,2017,January,1-Jan-2017,89.11,134.6,26.145
,,,,2017,February,1-Feb-2017,88,40.6,25.995
,,,,2017,March,1-Mar-2017,86.29,20.7,26.87
,,,,2017,April,1-Apr-2017,83,143.8,28.005
,,,,2017,May,1-May-2017,85,276.3,28.75
,,,,2017,June,1-Jun-2017,86,274.7,28.54
,,,,2017,July,1-Jul-2017,89,378.2,27.25
,,,,2017,August,1-Aug-2017,88,214.6,27.9
,,,,2017,September,1-Sep-2017,88.98,250.9,27.94
,,,,2017,October,1-Oct-2017,NA,403.7,27.25
,,,,2017,November,1-Nov-2017,90,568.9,27.1
,,,,2017,December,1-Dec-2017,91,286.4,26.45
,,,,2018,January,1-Jan-2018,90,160.6,26.1
,,,,2018,February,1-Feb-2018,87,115.2,26.8
,,,,2018,March,1-Mar-2018,87,30,27.3
,,,,2018,April,1-Apr-2018,87,68.4,28.4
,,,,2018,May,1-May-2018,82,321.4,29.2
,,,,2018,June,1-Jun-2018,88,192.3,28.2
,,,,2018,July,1-Jul-2018,90,321.3,27.5
,,,,2018,August,1-Aug-2018,91,79.2,27.8
,,,,2018,September,1-Sep-2018,88,118.1,28.1
,,,,2018,October,1-Oct-2018,87,193.1,28
,,,,2018,November,1-Nov-2018,90,143,27.7
,,,,2018,December,1-Dec-2018,88,305.8,26.7
"CALAYAN, CAGAYAN",Region02,19.26667778,121.471175,2013,January,1-Jan-2013,NA,168.5,NA
,,,,2013,February,1-Feb-2013,NA,40.6,NA
,,,,2013,March,1-Mar-2013,NA,6.2,NA
,,,,2013,April,1-Apr-2013,NA,44,NA
,,,,2013,May,1-May-2013,NA,144.6,NA
,,,,2013,June,1-Jun-2013,85,70.8,28.6
,,,,2013,July,1-Jul-2013,84,251,27.6
,,,,2013,August,1-Aug-2013,87,394.2,28.1
,,,,2013,September,1-Sep-2013,89,1170.2,28.5
,,,,2013,October,1-Oct-2013,84,250.8,26.7
,,,,2013,November,1-Nov-2013,86,137.6,26
,,,,2013,December,1-Dec-2013,88,344,23.6
,,,,2014,January,1-Jan-2014,79,214.8,23.1
,,,,2014,February,1-Feb-2014,85,64.2,24.3
,,,,2014,March,1-Mar-2014,85,23.3,25.3
,,,,2014,April,1-Apr-2014,82,24,27.8
,,,,2014,May,1-May-2014,83,NA,29.3
,,,,2014,June,1-Jun-2014,87,145.4,29.3
,,,,2014,July,1-Jul-2014,90,180.3,28.7
,,,,2014,August,1-Aug-2014,89,148.6,27.9
,,,,2014,September,1-Sep-2014,87,197.4,28.6
,,,,2014,October,1-Oct-2014,82,55.6,28.5
,,,,2014,November,1-Nov-2014,82,129.4,27.2
,,,,2014,December,1-Dec-2014,89,275.6,22.9
,,,,2015,January,1-Jan-2015,88,72,21.7
,,,,2015,February,1-Feb-2015,85,105.7,22.9
,,,,2015,March,1-Mar-2015,84,41.3,25.2
,,,,2015,April,1-Apr-2015,84,40,26.3
,,,,2015,May,1-May-2015,87,81.6,28.1
,,,,2015,June,1-Jun-2015,85,70.2,29.8
,,,,2015,July,1-Jul-2015,88,145.6,28.9
,,,,2015,August,1-Aug-2015,89,753.4,28.5
,,,,2015,September,1-Sep-2015,89,57,28.3
,,,,2015,October,1-Oct-2015,91,333.8,27.8
,,,,2015,November,1-Nov-2015,90,97.6,27.9
,,,,2015,December,1-Dec-2015,90,329.2,25.6
,,,,2016,January,1-Jan-2016,90,196.6,25.2
,,,,2016,February,1-Feb-2016,88,141.8,23.9
,,,,2016,March,1-Mar-2016,87,87.6,25.2
,,,,2016,April,1-Apr-2016,85,11.6,28.1
,,,,2016,May,1-May-2016,86,99,29
,,,,2016,June,1-Jun-2016,86,126.8,29.2
,,,,2016,July,1-Jul-2016,88,223.8,29
,,,,2016,August,1-Aug-2016,91,348.2,28.4
,,,,2016,September,1-Sep-2016,90,332.8,28.1
,,,,2016,October,1-Oct-2016,90,275.2,27.7
,,,,2016,November,1-Nov-2016,90,482.6,26.5
,,,,2016,December,1-Dec-2016,90,618.4,25.4
,,,,2017,January,1-Jan-2017,89,372,24.4
,,,,2017,February,1-Feb-2017,89.35,231.8,23.585
,,,,2017,March,1-Mar-2017,87,49.2,25.14
,,,,2017,April,1-Apr-2017,86.07,106.6,26.495
,,,,2017,May,1-May-2017,89,228.4,28.025
,,,,2017,June,1-Jun-2017,86,44,28.75
,,,,2017,July,1-Jul-2017,85.43,94.2,28.97
,,,,2017,August,1-Aug-2017,88,648,28.765
,,,,2017,September,1-Sep-2017,89,343.6,NA
,,,,2017,October,1-Oct-2017,89,490.4,NA
,,,,2017,November,1-Nov-2017,93.01,673.8,NA
,,,,2017,December,1-Dec-2017,90.91,299.6,NA
,,,,2018,January,1-Jan-2018,90,220.4,NA
,,,,2018,February,1-Feb-2018,NA,260.8,NA
,,,,2018,March,1-Mar-2018,NA,33,NA
,,,,2018,April,1-Apr-2018,NA,35.6,NA
,,,,2018,May,1-May-2018,NA,5.6,NA
,,,,2018,June,1-Jun-2018,NA,36.4,NA
,,,,2018,July,1-Jul-2018,NA,403.2,NA
,,,,2018,August,1-Aug-2018,NA,398,NA
,,,,2018,September,1-Sep-2018,NA,246.6,NA
,,,,2018,October,1-Oct-2018,NA,115.8,NA
,,,,2018,November,1-Nov-2018,NA,129,NA
,,,,2018,December,1-Dec-2018,NA,264,NA
"CASIGURAN, AURORA",Region03,16.26542778,122.12881389,2013,January,1-Jan-2013,86,345.5,24.1
,,,,2013,February,1-Feb-2013,87,458.4,25.3
,,,,2013,March,1-Mar-2013,85,253.4,26
,,,,2013,April,1-Apr-2013,83,90.7,28
,,,,2013,May,1-May-2013,83,124.9,29.1
,,,,2013,June,1-Jun-2013,84,314.9,28.9
,,,,2013,July,1-Jul-2013,87,712.2,27.6
,,,,2013,August,1-Aug-2013,85,456.9,27.8
,,,,2013,September,1-Sep-2013,82,191,28.3
,,,,2013,October,1-Oct-2013,80,308.7,27.4
,,,,2013,November,1-Nov-2013,86,960,26.2
,,,,2013,December,1-Dec-2013,87,1226.7,25.4
,,,,2014,January,1-Jan-2014,80,108.4,23.3
,,,,2014,February,1-Feb-2014,83,49.2,24.6
,,,,2014,March,1-Mar-2014,85,413.1,25.4
,,,,2014,April,1-Apr-2014,82,67.7,27.4
,,,,2014,May,1-May-2014,78,39.6,29.7
,,,,2014,June,1-Jun-2014,78,70.8,30.2
,,,,2014,July,1-Jul-2014,82,189.7,29.2
,,,,2014,August,1-Aug-2014,83,283.4,28.4
,,,,2014,September,1-Sep-2014,84,255.4,28.2
,,,,2014,October,1-Oct-2014,87,539,27.1
,,,,2014,November,1-Nov-2014,86,481.5,26.2
,,,,2014,December,1-Dec-2014,90,606.5,25
,,,,2015,January,1-Jan-2015,84,173.4,23.6
,,,,2015,February,1-Feb-2015,88,260.6,23.2
,,,,2015,March,1-Mar-2015,86,325.6,24.6
,,,,2015,April,1-Apr-2015,86,84.8,26.6
,,,,2015,May,1-May-2015,84,97.6,28.5
,,,,2015,June,1-Jun-2015,81,137.5,29.4
,,,,2015,July,1-Jul-2015,77,115.9,28.4
,,,,2015,August,1-Aug-2015,81,69.5,28.8
,,,,2015,September,1-Sep-2015,84,167.2,28.5
,,,,2015,October,1-Oct-2015,84,548.5,27.2
,,,,2015,November,1-Nov-2015,85,238.6,26.3
,,,,2015,December,1-Dec-2015,88,1033.8,25.2
,,,,2016,January,1-Jan-2016,86,253.8,25
,,,,2016,February,1-Feb-2016,87,194.4,24.4
,,,,2016,March,1-Mar-2016,87,116.5,25.7
,,,,2016,April,1-Apr-2016,83,87.9,27.7
,,,,2016,May,1-May-2016,82,201,28.9
,,,,2016,June,1-Jun-2016,87,190.5,29.3
,,,,2016,July,1-Jul-2016,87,156.4,28.9
,,,,2016,August,1-Aug-2016,87,119.3,28.8
,,,,2016,September,1-Sep-2016,94,118.2,28.8
,,,,2016,October,1-Oct-2016,89,668.9,28.6
,,,,2016,November,1-Nov-2016,90,814.6,26.7
,,,,2016,December,1-Dec-2016,94,856.4,25.8
,,,,2017,January,1-Jan-2017,93,886.9,24.495
,,,,2017,February,1-Feb-2017,92,380.2,23.84
,,,,2017,March,1-Mar-2017,90,224.7,25.45
,,,,2017,April,1-Apr-2017,88,59.6,27.15
,,,,2017,May,1-May-2017,88,294.1,28.995
,,,,2017,June,1-Jun-2017,88,240.4,29.215
,,,,2017,July,1-Jul-2017,90.6,298.3,28.1
,,,,2017,August,1-Aug-2017,89,276,29
,,,,2017,September,1-Sep-2017,88,145.2,28.63
,,,,2017,October,1-Oct-2017,90,615.9,27.65
,,,,2017,November,1-Nov-2017,93,1012,26.6
,,,,2017,December,1-Dec-2017,91,580.5,25.35
,,,,2018,January,1-Jan-2018,92,295.3,24.8
,,,,2018,February,1-Feb-2018,90,193.7,25.5
,,,,2018,March,1-Mar-2018,87,91.3,26
,,,,2018,April,1-Apr-2018,87,140.3,27.4
,,,,2018,May,1-May-2018,84,52.3,29.1
,,,,2018,June,1-Jun-2018,85,171.6,29.2
,,,,2018,July,1-Jul-2018,89,433.9,28.7
,,,,2018,August,1-Aug-2018,85,67,28.9
,,,,2018,September,1-Sep-2018,87,258.1,28.6
,,,,2018,October,1-Oct-2018,86,169.3,27.7
,,,,2018,November,1-Nov-2018,88,224.7,26.6
,,,,2018,December,1-Dec-2018,90,511,25.8
"CATARMAN, NORTHERN SAMAR",Region08,12.50551667,124.6285,2013,January,1-Jan-2013,91,382.8,26.1
,,,,2013,February,1-Feb-2013,90,438.5,26.8
,,,,2013,March,1-Mar-2013,88,459.9,27
,,,,2013,April,1-Apr-2013,86,47.9,28.1
,,,,2013,May,1-May-2013,85,70.8,28.7
,,,,2013,June,1-Jun-2013,88,355.9,28.2
,,,,2013,July,1-Jul-2013,88,214,27.7
,,,,2013,August,1-Aug-2013,88,230.6,27.9
,,,,2013,September,1-Sep-2013,86,137.6,28.1
,,,,2013,October,1-Oct-2013,85,151.9,27.9
,,,,2013,November,1-Nov-2013,91,511.9,27.2
,,,,2013,December,1-Dec-2013,87,373.5,28
,,,,2014,January,1-Jan-2014,93,734.5,25
,,,,2014,February,1-Feb-2014,86,200.3,26.3
,,,,2014,March,1-Mar-2014,86,414.7,26.9
,,,,2014,April,1-Apr-2014,88,387.8,27.4
,,,,2014,May,1-May-2014,83,31.5,28.7
,,,,2014,June,1-Jun-2014,82,371.8,28.8
,,,,2014,July,1-Jul-2014,84,428.1,27.6
,,,,2014,August,1-Aug-2014,82,286.9,28
,,,,2014,September,1-Sep-2014,84,286.3,27.3
,,,,2014,October,1-Oct-2014,87,479.5,26.7
,,,,2014,November,1-Nov-2014,87,448.3,26.9
,,,,2014,December,1-Dec-2014,90,1052.2,26.1
,,,,2015,January,1-Jan-2015,86,603.5,25.5
,,,,2015,February,1-Feb-2015,80,96.3,25.8
,,,,2015,March,1-Mar-2015,80,160.3,26.3
,,,,2015,April,1-Apr-2015,82,162.4,26.7
,,,,2015,May,1-May-2015,80,22.5,27.6
,,,,2015,June,1-Jun-2015,83,151.2,27.9
,,,,2015,July,1-Jul-2015,80,106.1,28.2
,,,,2015,August,1-Aug-2015,80,161.3,28.6
,,,,2015,September,1-Sep-2015,82,161.1,28.1
,,,,2015,October,1-Oct-2015,84,216.5,27.8
,,,,2015,November,1-Nov-2015,87,285.9,27.4
,,,,2015,December,1-Dec-2015,88,548.4,27
,,,,2016,January,1-Jan-2016,87,328.4,26
,,,,2016,February,1-Feb-2016,87,342.9,25.8
,,,,2016,March,1-Mar-2016,85,61.4,26.2
,,,,2016,April,1-Apr-2016,82,38.7,27.9
,,,,2016,May,1-May-2016,82,66.8,29
,,,,2016,June,1-Jun-2016,84,236.5,29
,,,,2016,July,1-Jul-2016,84,474.2,27.6
,,,,2016,August,1-Aug-2016,79,62.9,29
,,,,2016,September,1-Sep-2016,82,182.7,28.5
,,,,2016,October,1-Oct-2016,86,535.6,27.6
,,,,2016,November,1-Nov-2016,NA,NA,NA
,,,,2016,December,1-Dec-2016,91,764.9,26.6
,,,,2017,January,1-Jan-2017,88,754,25.825
,,,,2017,February,1-Feb-2017,85.22,146.5,26.135
,,,,2017,March,1-Mar-2017,NA,262.5,26.9
,,,,2017,April,1-Apr-2017,85.46,84.4,27.16
,,,,2017,May,1-May-2017,84,213.8,28.535
,,,,2017,June,1-Jun-2017,86.95,233.7,28.15
,,,,2017,July,1-Jul-2017,87,206.8,27.485
,,,,2017,August,1-Aug-2017,82,99.7,28.35
,,,,2017,September,1-Sep-2017,86.4,273.9,27.665
,,,,2017,October,1-Oct-2017,87,286,27.55
,,,,2017,November,1-Nov-2017,89.47,414.2,27.585
,,,,2017,December,1-Dec-2017,91.57,1211.6,26.87
,,,,2018,January,1-Jan-2018,92,1134,26.3
,,,,2018,February,1-Feb-2018,89,624.8,26.2
,,,,2018,March,1-Mar-2018,86,569.7,26.9
,,,,2018,April,1-Apr-2018,85,171.9,27.6
,,,,2018,May,1-May-2018,85,53.9,28.5
,,,,2018,June,1-Jun-2018,83,121.7,28.8
,,,,2018,July,1-Jul-2018,77,111.8,28.7
,,,,2018,August,1-Aug-2018,77,151.6,28.9
,,,,2018,September,1-Sep-2018,82,154.3,28.3
,,,,2018,October,1-Oct-2018,83,152.7,27.8
,,,,2018,November,1-Nov-2018,86,424.3,27.6
,,,,2018,December,1-Dec-2018,86,1019.1,26.9
"CATBALOGAN, WESTERN SAMAR",Region08,11.77503333,124.88425,2013,January,1-Jan-2013,86,456.7,26.8
,,,,2013,February,1-Feb-2013,84,292.1,27.8
,,,,2013,March,1-Mar-2013,81,131,28.3
,,,,2013,April,1-Apr-2013,78,63.1,29.9
,,,,2013,May,1-May-2013,79,170,29.9
,,,,2013,June,1-Jun-2013,83,575.1,29
,,,,2013,July,1-Jul-2013,85,261.7,28.6
,,,,2013,August,1-Aug-2013,83,276.3,28.8
,,,,2013,September,1-Sep-2013,82,273.2,28.9
,,,,2013,October,1-Oct-2013,81,211.1,28.7
,,,,2013,November,1-Nov-2013,85,299.2,28.2
,,,,2013,December,1-Dec-2013,87,373.5,28
,,,,2014,January,1-Jan-2014,88,451.9,25.6
,,,,2014,February,1-Feb-2014,82,44.1,26.9
,,,,2014,March,1-Mar-2014,82,226.7,27.9
,,,,2014,April,1-Apr-2014,84,319,28.2
,,,,2014,May,1-May-2014,79,93.7,30.2
,,,,2014,June,1-Jun-2014,78,333.3,30.1
,,,,2014,July,1-Jul-2014,81,532.2,29
,,,,2014,August,1-Aug-2014,79,305.5,29.4
,,,,2014,September,1-Sep-2014,83,518.7,28.7
,,,,2014,October,1-Oct-2014,85,314.8,28.7
,,,,2014,November,1-Nov-2014,86,273.3,28.1
,,,,2014,December,1-Dec-2014,87,1140.5,27.8
,,,,2015,January,1-Jan-2015,85,396.2,27
,,,,2015,February,1-Feb-2015,77,36.7,27.2
,,,,2015,March,1-Mar-2015,76,63.8,27.7
,,,,2015,April,1-Apr-2015,76,82.4,28.8
,,,,2015,May,1-May-2015,72,23.9,30
,,,,2015,June,1-Jun-2015,79,297.9,29.2
,,,,2015,July,1-Jul-2015,75,151.2,29.6
,,,,2015,August,1-Aug-2015,77,159.3,29.5
,,,,2015,September,1-Sep-2015,80,185.5,29.5
,,,,2015,October,1-Oct-2015,79,94.5,29.2
,,,,2015,November,1-Nov-2015,80,192.7,28.9
,,,,2015,December,1-Dec-2015,83,149.5,28.2
,,,,2016,January,1-Jan-2016,81,84.3,27.7
,,,,2016,February,1-Feb-2016,81,121.3,27.6
,,,,2016,March,1-Mar-2016,76,27.1,28.9
,,,,2016,April,1-Apr-2016,80,47.5,30.3
,,,,2016,May,1-May-2016,76,82.2,30.7
,,,,2016,June,1-Jun-2016,80,182.2,29.8
,,,,2016,July,1-Jul-2016,81,473.1,29.1
,,,,2016,August,1-Aug-2016,75,84.3,30.4
,,,,2016,September,1-Sep-2016,84,144.7,29.8
,,,,2016,October,1-Oct-2016,83,367.7,28.9
,,,,2016,November,1-Nov-2016,84,342.5,27.8
,,,,2016,December,1-Dec-2016,84,298.5,28.2
,,,,2017,January,1-Jan-2017,83,375.5,27.25
,,,,2017,February,1-Feb-2017,80,109.17,27.03
,,,,2017,March,1-Mar-2017,82,188.3,27.3
,,,,2017,April,1-Apr-2017,80,137.4,28.7
,,,,2017,May,1-May-2017,80,200.5,30.245
,,,,2017,June,1-Jun-2017,87,174.8,29.85
,,,,2017,July,1-Jul-2017,90,290.5,28.655
,,,,2017,August,1-Aug-2017,81,94.9,29.65
,,,,2017,September,1-Sep-2017,84,384.1,29.03
,,,,2017,October,1-Oct-2017,76,234.8,28.65
,,,,2017,November,1-Nov-2017,84.47,202.6,29.5
,,,,2017,December,1-Dec-2017,87,1105,27.885
,,,,2018,January,1-Jan-2018,88,792.3,26.8
,,,,2018,February,1-Feb-2018,86,422.6,27.4
,,,,2018,March,1-Mar-2018,81,105.2,28.1
